code,country,region,income_group,year,rate
AFG,Afghanistan,South Asia,Low,2013,5.696
AFG,Afghanistan,South Asia,Low,2014,5.56
AFG,Afghanistan,South Asia,Low,2015,5.405
AFG,Afghanistan,South Asia,Low,2016,5.262
AFG,Afghanistan,South Asia,Low,2017,5.129
AFG,Afghanistan,South Asia,Low,2018,5.002
AFG,Afghanistan,South Asia,Low,2019,4.87
AFG,Afghanistan,South Asia,Low,2020,4.75
AFG,Afghanistan,South Asia,Low,2021,4.643
AFG,Afghanistan,South Asia,Low,2022,4.523
ALB,Albania,Europe & Central Asia,Upper middle,1960,6.455
ALB,Albania,Europe & Central Asia,Upper middle,1961,6.353
ALB,Albania,Europe & Central Asia,Upper middle,1962,6.207
ALB,Albania,Europe & Central Asia,Upper middle,1963,6.047
ALB,Albania,Europe & Central Asia,Upper middle,1964,5.849
ALB,Albania,Europe & Central Asia,Upper middle,1965,5.623
ALB,Albania,Europe & Central Asia,Upper middle,1966,5.465
ALB,Albania,Europe & Central Asia,Upper middle,1967,5.404
ALB,Albania,Europe & Central Asia,Upper middle,1968,5.338
ALB,Albania,Europe & Central Asia,Upper middle,1969,5.258
ALB,Albania,Europe & Central Asia,Upper middle,1970,5.111
ALB,Albania,Europe & Central Asia,Upper middle,1971,5.015
ALB,Albania,Europe & Central Asia,Upper middle,1972,4.898
ALB,Albania,Europe & Central Asia,Upper middle,1973,4.764
ALB,Albania,Europe & Central Asia,Upper middle,1974,4.642
ALB,Albania,Europe & Central Asia,Upper middle,1975,4.524
ALB,Albania,Europe & Central Asia,Upper middle,1976,4.34
ALB,Albania,Europe & Central Asia,Upper middle,1977,4.136
ALB,Albania,Europe & Central Asia,Upper middle,1978,3.946
ALB,Albania,Europe & Central Asia,Upper middle,1979,3.763
ALB,Albania,Europe & Central Asia,Upper middle,1980,3.614
ALB,Albania,Europe & Central Asia,Upper middle,1981,3.509
ALB,Albania,Europe & Central Asia,Upper middle,1982,3.452
ALB,Albania,Europe & Central Asia,Upper middle,1983,3.361
ALB,Albania,Europe & Central Asia,Upper middle,1984,3.296
ALB,Albania,Europe & Central Asia,Upper middle,1985,3.205
ALB,Albania,Europe & Central Asia,Upper middle,1986,3.116
ALB,Albania,Europe & Central Asia,Upper middle,1987,3.061
ALB,Albania,Europe & Central Asia,Upper middle,1988,3.004
ALB,Albania,Europe & Central Asia,Upper middle,1989,2.942
ALB,Albania,Europe & Central Asia,Upper middle,1990,2.9
ALB,Albania,Europe & Central Asia,Upper middle,1991,2.826
ALB,Albania,Europe & Central Asia,Upper middle,1992,2.767
ALB,Albania,Europe & Central Asia,Upper middle,1993,2.707
ALB,Albania,Europe & Central Asia,Upper middle,1994,2.707
ALB,Albania,Europe & Central Asia,Upper middle,1995,2.685
ALB,Albania,Europe & Central Asia,Upper middle,1996,2.615
ALB,Albania,Europe & Central Asia,Upper middle,1997,2.497
ALB,Albania,Europe & Central Asia,Upper middle,1998,2.397
ALB,Albania,Europe & Central Asia,Upper middle,1999,2.318
ALB,Albania,Europe & Central Asia,Upper middle,2000,2.231
ALB,Albania,Europe & Central Asia,Upper middle,2001,2.15
ALB,Albania,Europe & Central Asia,Upper middle,2002,2.036
ALB,Albania,Europe & Central Asia,Upper middle,2003,1.978
ALB,Albania,Europe & Central Asia,Upper middle,2004,1.89
ALB,Albania,Europe & Central Asia,Upper middle,2005,1.803
ALB,Albania,Europe & Central Asia,Upper middle,2006,1.724
ALB,Albania,Europe & Central Asia,Upper middle,2007,1.671
ALB,Albania,Europe & Central Asia,Upper middle,2008,1.648
ALB,Albania,Europe & Central Asia,Upper middle,2009,1.647
ALB,Albania,Europe & Central Asia,Upper middle,2010,1.656
ALB,Albania,Europe & Central Asia,Upper middle,2011,1.671
ALB,Albania,Europe & Central Asia,Upper middle,2012,1.692
ALB,Albania,Europe & Central Asia,Upper middle,2013,1.697
ALB,Albania,Europe & Central Asia,Upper middle,2014,1.674
ALB,Albania,Europe & Central Asia,Upper middle,2015,1.613
ALB,Albania,Europe & Central Asia,Upper middle,2016,1.551
ALB,Albania,Europe & Central Asia,Upper middle,2017,1.491
ALB,Albania,Europe & Central Asia,Upper middle,2018,1.44
ALB,Albania,Europe & Central Asia,Upper middle,2019,1.414
ALB,Albania,Europe & Central Asia,Upper middle,2020,1.4
ALB,Albania,Europe & Central Asia,Upper middle,2021,1.39
ALB,Albania,Europe & Central Asia,Upper middle,2022,1.376
DZA,Algeria,Middle East & North Africa,Upper middle,1960,7.503
DZA,Algeria,Middle East & North Africa,Upper middle,1961,7.564
DZA,Algeria,Middle East & North Africa,Upper middle,1962,7.607
DZA,Algeria,Middle East & North Africa,Upper middle,1963,7.649
DZA,Algeria,Middle East & North Africa,Upper middle,1964,7.673
DZA,Algeria,Middle East & North Africa,Upper middle,1965,7.679
DZA,Algeria,Middle East & North Africa,Upper middle,1966,7.672
DZA,Algeria,Middle East & North Africa,Upper middle,1967,7.667
DZA,Algeria,Middle East & North Africa,Upper middle,1968,7.655
DZA,Algeria,Middle East & North Africa,Upper middle,1969,7.653
DZA,Algeria,Middle East & North Africa,Upper middle,1970,7.635
DZA,Algeria,Middle East & North Africa,Upper middle,1971,7.6
DZA,Algeria,Middle East & North Africa,Upper middle,1972,7.546
DZA,Algeria,Middle East & North Africa,Upper middle,1973,7.491
DZA,Algeria,Middle East & North Africa,Upper middle,1974,7.44
DZA,Algeria,Middle East & North Africa,Upper middle,1975,7.373
DZA,Algeria,Middle East & North Africa,Upper middle,1976,7.306
DZA,Algeria,Middle East & North Africa,Upper middle,1977,7.23
DZA,Algeria,Middle East & North Africa,Upper middle,1978,7.14
DZA,Algeria,Middle East & North Africa,Upper middle,1979,7.059
DZA,Algeria,Middle East & North Africa,Upper middle,1980,6.952
DZA,Algeria,Middle East & North Africa,Upper middle,1981,6.808
DZA,Algeria,Middle East & North Africa,Upper middle,1982,6.635
DZA,Algeria,Middle East & North Africa,Upper middle,1983,6.436
DZA,Algeria,Middle East & North Africa,Upper middle,1984,6.219
DZA,Algeria,Middle East & North Africa,Upper middle,1985,5.975
DZA,Algeria,Middle East & North Africa,Upper middle,1986,5.625
DZA,Algeria,Middle East & North Africa,Upper middle,1987,5.327
DZA,Algeria,Middle East & North Africa,Upper middle,1988,5.059
DZA,Algeria,Middle East & North Africa,Upper middle,1989,4.826
DZA,Algeria,Middle East & North Africa,Upper middle,1990,4.556
DZA,Algeria,Middle East & North Africa,Upper middle,1991,4.386
DZA,Algeria,Middle East & North Africa,Upper middle,1992,4.257
DZA,Algeria,Middle East & North Africa,Upper middle,1993,4.059
DZA,Algeria,Middle East & North Africa,Upper middle,1994,3.846
DZA,Algeria,Middle East & North Africa,Upper middle,1995,3.456
DZA,Algeria,Middle East & North Africa,Upper middle,1996,3.136
DZA,Algeria,Middle East & North Africa,Upper middle,1997,2.897
DZA,Algeria,Middle East & North Africa,Upper middle,1998,2.712
DZA,Algeria,Middle East & North Africa,Upper middle,1999,2.624
DZA,Algeria,Middle East & North Africa,Upper middle,2000,2.566
DZA,Algeria,Middle East & North Africa,Upper middle,2001,2.507
DZA,Algeria,Middle East & North Africa,Upper middle,2002,2.456
DZA,Algeria,Middle East & North Africa,Upper middle,2003,2.481
DZA,Algeria,Middle East & North Africa,Upper middle,2004,2.512
DZA,Algeria,Middle East & North Africa,Upper middle,2005,2.555
DZA,Algeria,Middle East & North Africa,Upper middle,2006,2.604
DZA,Algeria,Middle East & North Africa,Upper middle,2007,2.677
DZA,Algeria,Middle East & North Africa,Upper middle,2008,2.753
DZA,Algeria,Middle East & North Africa,Upper middle,2009,2.813
DZA,Algeria,Middle East & North Africa,Upper middle,2010,2.843
DZA,Algeria,Middle East & North Africa,Upper middle,2011,2.88
DZA,Algeria,Middle East & North Africa,Upper middle,2012,2.956
DZA,Algeria,Middle East & North Africa,Upper middle,2013,2.957
DZA,Algeria,Middle East & North Africa,Upper middle,2014,3.004
DZA,Algeria,Middle East & North Africa,Upper middle,2015,3.041
DZA,Algeria,Middle East & North Africa,Upper middle,2016,3.051
DZA,Algeria,Middle East & North Africa,Upper middle,2017,3.05
DZA,Algeria,Middle East & North Africa,Upper middle,2018,3.023
DZA,Algeria,Middle East & North Africa,Upper middle,2019,2.988
DZA,Algeria,Middle East & North Africa,Upper middle,2020,2.942
DZA,Algeria,Middle East & North Africa,Upper middle,2021,2.889
DZA,Algeria,Middle East & North Africa,Upper middle,2022,2.829
AND,Andorra,Europe & Central Asia,High,2006,1.24
AND,Andorra,Europe & Central Asia,High,2007,1.18
AND,Andorra,Europe & Central Asia,High,2008,1.25
AND,Andorra,Europe & Central Asia,High,2009,1.19
AND,Andorra,Europe & Central Asia,High,2010,1.27
AGO,Angola,Sub-Saharan Africa,Lower middle,1960,6.708
AGO,Angola,Sub-Saharan Africa,Lower middle,1961,6.79
AGO,Angola,Sub-Saharan Africa,Lower middle,1962,6.872
AGO,Angola,Sub-Saharan Africa,Lower middle,1963,6.954
AGO,Angola,Sub-Saharan Africa,Lower middle,1964,7.036
AGO,Angola,Sub-Saharan Africa,Lower middle,1965,7.116
AGO,Angola,Sub-Saharan Africa,Lower middle,1966,7.194
AGO,Angola,Sub-Saharan Africa,Lower middle,1967,7.267
AGO,Angola,Sub-Saharan Africa,Lower middle,1968,7.332
AGO,Angola,Sub-Saharan Africa,Lower middle,1969,7.388
AGO,Angola,Sub-Saharan Africa,Lower middle,1970,7.434
AGO,Angola,Sub-Saharan Africa,Lower middle,1971,7.467
AGO,Angola,Sub-Saharan Africa,Lower middle,1972,7.488
AGO,Angola,Sub-Saharan Africa,Lower middle,1973,7.498
AGO,Angola,Sub-Saharan Africa,Lower middle,1974,7.5
AGO,Angola,Sub-Saharan Africa,Lower middle,1975,7.494
AGO,Angola,Sub-Saharan Africa,Lower middle,1976,7.485
AGO,Angola,Sub-Saharan Africa,Lower middle,1977,7.475
AGO,Angola,Sub-Saharan Africa,Lower middle,1978,7.467
AGO,Angola,Sub-Saharan Africa,Lower middle,1979,7.461
AGO,Angola,Sub-Saharan Africa,Lower middle,1980,7.459
AGO,Angola,Sub-Saharan Africa,Lower middle,1981,7.459
AGO,Angola,Sub-Saharan Africa,Lower middle,1982,7.461
AGO,Angola,Sub-Saharan Africa,Lower middle,1983,7.462
AGO,Angola,Sub-Saharan Africa,Lower middle,1984,7.459
AGO,Angola,Sub-Saharan Africa,Lower middle,1985,7.451
AGO,Angola,Sub-Saharan Africa,Lower middle,1986,7.435
AGO,Angola,Sub-Saharan Africa,Lower middle,1987,7.409
AGO,Angola,Sub-Saharan Africa,Lower middle,1988,7.373
AGO,Angola,Sub-Saharan Africa,Lower middle,1989,7.328
AGO,Angola,Sub-Saharan Africa,Lower middle,1990,7.272
AGO,Angola,Sub-Saharan Africa,Lower middle,1991,7.208
AGO,Angola,Sub-Saharan Africa,Lower middle,1992,7.138
AGO,Angola,Sub-Saharan Africa,Lower middle,1993,7.065
AGO,Angola,Sub-Saharan Africa,Lower middle,1994,6.99
AGO,Angola,Sub-Saharan Africa,Lower middle,1995,6.918
AGO,Angola,Sub-Saharan Africa,Lower middle,1996,6.851
AGO,Angola,Sub-Saharan Africa,Lower middle,1997,6.789
AGO,Angola,Sub-Saharan Africa,Lower middle,1998,6.732
AGO,Angola,Sub-Saharan Africa,Lower middle,1999,6.683
AGO,Angola,Sub-Saharan Africa,Lower middle,2000,6.639
AGO,Angola,Sub-Saharan Africa,Lower middle,2001,6.601
AGO,Angola,Sub-Saharan Africa,Lower middle,2002,6.567
AGO,Angola,Sub-Saharan Africa,Lower middle,2003,6.533
AGO,Angola,Sub-Saharan Africa,Lower middle,2004,6.499
AGO,Angola,Sub-Saharan Africa,Lower middle,2005,6.461
AGO,Angola,Sub-Saharan Africa,Lower middle,2006,6.419
AGO,Angola,Sub-Saharan Africa,Lower middle,2007,6.372
AGO,Angola,Sub-Saharan Africa,Lower middle,2008,6.32
AGO,Angola,Sub-Saharan Africa,Lower middle,2009,6.26
AGO,Angola,Sub-Saharan Africa,Lower middle,2010,6.194
AGO,Angola,Sub-Saharan Africa,Lower middle,2011,6.12
AGO,Angola,Sub-Saharan Africa,Lower middle,2012,6.039
AGO,Angola,Sub-Saharan Africa,Lower middle,2013,5.953
AGO,Angola,Sub-Saharan Africa,Lower middle,2014,5.864
AGO,Angola,Sub-Saharan Africa,Lower middle,2015,5.774
AGO,Angola,Sub-Saharan Africa,Lower middle,2016,5.686
AGO,Angola,Sub-Saharan Africa,Lower middle,2017,5.6
AGO,Angola,Sub-Saharan Africa,Lower middle,2018,5.519
AGO,Angola,Sub-Saharan Africa,Lower middle,2019,5.442
AGO,Angola,Sub-Saharan Africa,Lower middle,2020,5.371
AGO,Angola,Sub-Saharan Africa,Lower middle,2021,5.304
AGO,Angola,Sub-Saharan Africa,Lower middle,2022,5.209
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1960,4.602
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1961,4.559
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1962,4.547
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1963,4.536
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1964,4.484
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1965,4.416
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1966,4.322
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1967,4.178
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1968,4.014
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1969,3.829
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1970,3.628
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1971,3.455
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1972,3.287
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1973,3.126
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1974,2.932
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1975,2.77
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1976,2.78
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1977,2.784
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1978,2.573
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1979,2.632
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1980,2.311
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1981,2.166
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1982,2.087
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1983,2.116
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1984,2.038
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1985,2.151
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1986,2.032
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1987,2.067
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1988,2.132
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1989,2.199
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1990,2.249
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1991,2.036
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1992,2.126
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1993,2.036
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1994,2.069
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1995,2.159
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1996,2.266
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1997,2.19
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1998,2.017
ATG,Antigua & Barbuda,Latin America & Caribbean,High,1999,1.956
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2000,2.196
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2001,2.018
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2002,1.94
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2003,1.887
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2004,1.852
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2005,1.832
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2006,1.831
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2007,1.86
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2008,2.042
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2009,2.006
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2010,1.785
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2011,1.746
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2012,1.655
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2013,1.537
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2014,1.526
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2015,1.567
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2016,1.458
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2017,1.485
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2018,1.371
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2019,1.468
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2020,1.569
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2021,1.58
ATG,Antigua & Barbuda,Latin America & Caribbean,High,2022,1.58
ARG,Argentina,Latin America & Caribbean,Upper middle,1960,3.075
ARG,Argentina,Latin America & Caribbean,Upper middle,1961,3.069
ARG,Argentina,Latin America & Caribbean,Upper middle,1962,3.106
ARG,Argentina,Latin America & Caribbean,Upper middle,1963,3.101
ARG,Argentina,Latin America & Caribbean,Upper middle,1964,3.08
ARG,Argentina,Latin America & Caribbean,Upper middle,1965,3.062
ARG,Argentina,Latin America & Caribbean,Upper middle,1966,3.048
ARG,Argentina,Latin America & Caribbean,Upper middle,1967,3.039
ARG,Argentina,Latin America & Caribbean,Upper middle,1968,3.027
ARG,Argentina,Latin America & Caribbean,Upper middle,1969,3.052
ARG,Argentina,Latin America & Caribbean,Upper middle,1970,3.088
ARG,Argentina,Latin America & Caribbean,Upper middle,1971,3.108
ARG,Argentina,Latin America & Caribbean,Upper middle,1972,3.146
ARG,Argentina,Latin America & Caribbean,Upper middle,1973,3.198
ARG,Argentina,Latin America & Caribbean,Upper middle,1974,3.251
ARG,Argentina,Latin America & Caribbean,Upper middle,1975,3.301
ARG,Argentina,Latin America & Caribbean,Upper middle,1976,3.339
ARG,Argentina,Latin America & Caribbean,Upper middle,1977,3.359
ARG,Argentina,Latin America & Caribbean,Upper middle,1978,3.359
ARG,Argentina,Latin America & Caribbean,Upper middle,1979,3.339
ARG,Argentina,Latin America & Caribbean,Upper middle,1980,3.301
ARG,Argentina,Latin America & Caribbean,Upper middle,1981,3.253
ARG,Argentina,Latin America & Caribbean,Upper middle,1982,3.204
ARG,Argentina,Latin America & Caribbean,Upper middle,1983,3.159
ARG,Argentina,Latin America & Caribbean,Upper middle,1984,3.123
ARG,Argentina,Latin America & Caribbean,Upper middle,1985,3.095
ARG,Argentina,Latin America & Caribbean,Upper middle,1986,3.075
ARG,Argentina,Latin America & Caribbean,Upper middle,1987,3.059
ARG,Argentina,Latin America & Caribbean,Upper middle,1988,3.042
ARG,Argentina,Latin America & Caribbean,Upper middle,1989,3.022
ARG,Argentina,Latin America & Caribbean,Upper middle,1990,3.034
ARG,Argentina,Latin America & Caribbean,Upper middle,1991,3.012
ARG,Argentina,Latin America & Caribbean,Upper middle,1992,2.987
ARG,Argentina,Latin America & Caribbean,Upper middle,1993,2.966
ARG,Argentina,Latin America & Caribbean,Upper middle,1994,2.935
ARG,Argentina,Latin America & Caribbean,Upper middle,1995,2.864
ARG,Argentina,Latin America & Caribbean,Upper middle,1996,2.781
ARG,Argentina,Latin America & Caribbean,Upper middle,1997,2.706
ARG,Argentina,Latin America & Caribbean,Upper middle,1998,2.662
ARG,Argentina,Latin America & Caribbean,Upper middle,1999,2.643
ARG,Argentina,Latin America & Caribbean,Upper middle,2000,2.591
ARG,Argentina,Latin America & Caribbean,Upper middle,2001,2.531
ARG,Argentina,Latin America & Caribbean,Upper middle,2002,2.493
ARG,Argentina,Latin America & Caribbean,Upper middle,2003,2.451
ARG,Argentina,Latin America & Caribbean,Upper middle,2004,2.43
ARG,Argentina,Latin America & Caribbean,Upper middle,2005,2.426
ARG,Argentina,Latin America & Caribbean,Upper middle,2006,2.4
ARG,Argentina,Latin America & Caribbean,Upper middle,2007,2.37
ARG,Argentina,Latin America & Caribbean,Upper middle,2008,2.341
ARG,Argentina,Latin America & Caribbean,Upper middle,2009,2.344
ARG,Argentina,Latin America & Caribbean,Upper middle,2010,2.346
ARG,Argentina,Latin America & Caribbean,Upper middle,2011,2.338
ARG,Argentina,Latin America & Caribbean,Upper middle,2012,2.33
ARG,Argentina,Latin America & Caribbean,Upper middle,2013,2.322
ARG,Argentina,Latin America & Caribbean,Upper middle,2014,2.312
ARG,Argentina,Latin America & Caribbean,Upper middle,2015,2.301
ARG,Argentina,Latin America & Caribbean,Upper middle,2016,2.241
ARG,Argentina,Latin America & Caribbean,Upper middle,2017,2.168
ARG,Argentina,Latin America & Caribbean,Upper middle,2018,2.039
ARG,Argentina,Latin America & Caribbean,Upper middle,2019,1.994
ARG,Argentina,Latin America & Caribbean,Upper middle,2020,1.911
ARG,Argentina,Latin America & Caribbean,Upper middle,2021,1.885
ARG,Argentina,Latin America & Caribbean,Upper middle,2022,1.876
ARM,Armenia,Europe & Central Asia,Upper middle,1960,4.786
ARM,Armenia,Europe & Central Asia,Upper middle,1961,4.67
ARM,Armenia,Europe & Central Asia,Upper middle,1962,4.521
ARM,Armenia,Europe & Central Asia,Upper middle,1963,4.345
ARM,Armenia,Europe & Central Asia,Upper middle,1964,4.15
ARM,Armenia,Europe & Central Asia,Upper middle,1965,3.988
ARM,Armenia,Europe & Central Asia,Upper middle,1966,3.829
ARM,Armenia,Europe & Central Asia,Upper middle,1967,3.731
ARM,Armenia,Europe & Central Asia,Upper middle,1968,3.622
ARM,Armenia,Europe & Central Asia,Upper middle,1969,3.488
ARM,Armenia,Europe & Central Asia,Upper middle,1970,3.402
ARM,Armenia,Europe & Central Asia,Upper middle,1971,3.357
ARM,Armenia,Europe & Central Asia,Upper middle,1972,3.27
ARM,Armenia,Europe & Central Asia,Upper middle,1973,3.155
ARM,Armenia,Europe & Central Asia,Upper middle,1974,3.051
ARM,Armenia,Europe & Central Asia,Upper middle,1975,2.957
ARM,Armenia,Europe & Central Asia,Upper middle,1976,2.851
ARM,Armenia,Europe & Central Asia,Upper middle,1977,2.76
ARM,Armenia,Europe & Central Asia,Upper middle,1978,2.656
ARM,Armenia,Europe & Central Asia,Upper middle,1979,2.557
ARM,Armenia,Europe & Central Asia,Upper middle,1980,2.505
ARM,Armenia,Europe & Central Asia,Upper middle,1981,2.499
ARM,Armenia,Europe & Central Asia,Upper middle,1982,2.503
ARM,Armenia,Europe & Central Asia,Upper middle,1983,2.572
ARM,Armenia,Europe & Central Asia,Upper middle,1984,2.629
ARM,Armenia,Europe & Central Asia,Upper middle,1985,2.649
ARM,Armenia,Europe & Central Asia,Upper middle,1986,2.649
ARM,Armenia,Europe & Central Asia,Upper middle,1987,2.66
ARM,Armenia,Europe & Central Asia,Upper middle,1988,2.68
ARM,Armenia,Europe & Central Asia,Upper middle,1989,2.706
ARM,Armenia,Europe & Central Asia,Upper middle,1990,2.713
ARM,Armenia,Europe & Central Asia,Upper middle,1991,2.645
ARM,Armenia,Europe & Central Asia,Upper middle,1992,2.508
ARM,Armenia,Europe & Central Asia,Upper middle,1993,2.315
ARM,Armenia,Europe & Central Asia,Upper middle,1994,2.167
ARM,Armenia,Europe & Central Asia,Upper middle,1995,2.055
ARM,Armenia,Europe & Central Asia,Upper middle,1996,1.97
ARM,Armenia,Europe & Central Asia,Upper middle,1997,1.892
ARM,Armenia,Europe & Central Asia,Upper middle,1998,1.791
ARM,Armenia,Europe & Central Asia,Upper middle,1999,1.709
ARM,Armenia,Europe & Central Asia,Upper middle,2000,1.603
ARM,Armenia,Europe & Central Asia,Upper middle,2001,1.544
ARM,Armenia,Europe & Central Asia,Upper middle,2002,1.525
ARM,Armenia,Europe & Central Asia,Upper middle,2003,1.534
ARM,Armenia,Europe & Central Asia,Upper middle,2004,1.541
ARM,Armenia,Europe & Central Asia,Upper middle,2005,1.54
ARM,Armenia,Europe & Central Asia,Upper middle,2006,1.349
ARM,Armenia,Europe & Central Asia,Upper middle,2007,1.418
ARM,Armenia,Europe & Central Asia,Upper middle,2008,1.441
ARM,Armenia,Europe & Central Asia,Upper middle,2009,1.551
ARM,Armenia,Europe & Central Asia,Upper middle,2010,1.501
ARM,Armenia,Europe & Central Asia,Upper middle,2011,1.5
ARM,Armenia,Europe & Central Asia,Upper middle,2012,1.6
ARM,Armenia,Europe & Central Asia,Upper middle,2013,1.6
ARM,Armenia,Europe & Central Asia,Upper middle,2014,1.703
ARM,Armenia,Europe & Central Asia,Upper middle,2015,1.602
ARM,Armenia,Europe & Central Asia,Upper middle,2016,1.626
ARM,Armenia,Europe & Central Asia,Upper middle,2017,1.562
