# bmr_kjph: basal metabolic rate in kilojoules per hour
# Food: A/T, ants & termites; B, bulbs & roots; F, fruit; G, grass; I, insects; IV, invertebrates; L, leaves; O, omnivorous; N, nectar; S, seeds; V, vertebrates; W, worms
# Climate: T, temperate; TR, tropical; P, polar; W, widespread
# Habitat: D, desert; FW, freshwater; M, mesic; MW, marine water; X, xeric; W, widespread
# Substrate: AQ, aquatic; B, burrowing; C, caves; FOSS, fossorial, T, terrestrial; TR, trees
# Torpor?: HIB, hibernation; N, no; Y, yes; ? unknown
# Islands?: N, no; Y, yes (only on islands)
# Mountains?: N, no; Y, yes (only in mountains)
species,mass_g,bmr_kjph,food,climate,habitat,substrate,torpor,islands,mountains,reference
Tachyglossus aculeatus,2140,5.63,A/T,T/TR,W,B,N,N,N,McNab (1984)
Zaglossus bartoni,10300,24.41,W,TR,M,B,N,Y,Y,McNab (1984)
Ornithorhynchus anatinus,1300,9.40,V/IV,T,FW,AQ,N,N,N,Grant and Dawson (1978)
Caluromys derbianus,357,4.09,F,TR,M,TR,N,N,N,McNab (1978a)
Marmosa microtarsus,13,0.38,I/F,T,M,T/TR,Y,N,N,Morrison and McNab (1962)
Thylamys elegans,40,0.86,I,T,M,T/TR,HIB,N,Y,Bozinovic et al. (2005)
Monodelphis domesticus,104,1.21,I,TR,X,T,N,N,N,Dawson and Olson (1988)
Monodelphis brevicaudata,111,1.52,I,TR,M,T,Y,N,N,McNab (1978a)
Marmosa robinsoni,122,1.96,I/F,TR,M,T,Y,N,N,McNab (1978a)
Metachirus nudicaudata,336,4.12,I/F,TR,M,T/TR,N,N,N,McNab (1978a)
Philander opossum,751,6.79,I/F,TR,M,T,N,N,N,McNab (1978a)
Lutrolina crassicaudata,812,8.15,V/I,T,M,T,N,N,N,McNab (1978a)
Chironectes minimus,923,7.36,V/I,TR,FW,AQ,N,N,N,Thompson (1988)
Didelphis marsupialis,1329,12.28,I/F,TR,M,T/TR,N,N,N,McNab (1978a)
Didelphis virginana,3257,21.58,I/F,T,M,T/TR,N,N,N,McNab (1978a)
Dromiciops gliroides,40,0.64,I/F,T,M,T/TR,HIB,N,N,Bozinovic et al. (2004)
Notoryctes caurinus,34.2,0.43,I,T/TR,X,FOSS,Y,N,N,Withers et al. (2000)
Myrmecobius fasciatus,480,3.73,A/T,T,X,T,N,N,N,McNab (1984)
Antechinomys laniger,24.2,0.48,I,T,X,T,Y,N,N,Dawson and Hulbert (1970)
Antechinus stuartii,36.5,0.73,I,T,M,T,Y,N,N,Dawson and Hulbert (1970)
Pseudantechinus macdonnellensis,43.1,0.55,I,T/TR,X,T,Y,N,N,MacMillen and Nelson (1969)
Antechinus flavipes,46.5,0.91,I,T/TR,M,T,Y,N,N,Geiser (1988)
Antechinus swainsoni,66.9,1.28,I,T,M,T,Y?,N,N,Chappell and Dawson (1994)
Dasycercus cristicauda,88.8,0.93,V/I,T/TR,M,T,Y,N,N,MacMillen and Nelson (1969)
Dasyuroides byrnei,118.2,1.66,V/I,T,X,T,Y,N,N,Geiser and Baudinette (1987)
Phascogale tapoatafa,157,2.55,V/I,T/TR,M,TR,N,N,N,MacMillen and Nelson (1969)
Dasyurus hallucatus,584,5.98,V/I,TR,M,T,N,N,N,MacMillen and Nelson (1969)
Dasyurus viverrinus,910,8.22,V,T,M,T,N,N,N,MacMillen and Nelson (1969)
Dasyurus geoffroii,1354,11.42,V,T,M,T,N,N,N,Arnold and Shield (1970)
Dasyurus maculatus,1782,11.81,V,T/TR,M,T/TR,N,N,N,MacMillen and Nelson (1969)
Sarcophilus harrisii,5050,28.39,V,T,M,T,N,N,N,MacMillen and Nelson (1969)
Planigale tenuirostris,7.1,0.23,I,TR,X,T,Y,N,N,Dawson and Wolfers (1978)
Planigale ingrami,7.1,0.23,I,TR,X,T,Y,N,N,Dawson and Wolfers (1978)
Planigale gilesi,9.4,0.26,I,T,X,T,Y,N,N,Dawson and Wolfers (1978)
Ningaui yvonneae,11.6,0.32,I,T,X,T,Y,N,N,Geiser and Baudinette (1988)
Planigale maculate,13.1,0.27,I,T/TR,M,T,Y,N,N,Morton and Lee (1978)
Sminthopsis crassicaudata,17.7,0.44,I,T,X,T,Y,N,N,Geiser and Baudinette (1987)
Sminthopsis murina,19.0,0.43,I,T/TR,X,T,Y,N,N,Geiser et al. (1984)
Sminthopsis macroura,22.0,0.47,I,T/TR,X,T,Y,N,N,Geiser and Baudinette (1987)
Macrotis lagotis,1011,7.11,I,T/TR,X,B,N,N,N,Hulbert and Dawson (1974)
Isoodon auratus,428,3.01,I,TR,X,T,N,N,N,Withers (1992)
Perameles nasuta,645,6.35,I,T/TR,M,T,N,N,N,Hulbert and Dawson (1974)
Isoodon obesulus,717.2,4.46,I,T/TR,M,T,N,N,N,Hinds et al. (1993)
Perameles gunni,837.3,8.44,I,T,M,T,N,N,N,Hinds et al. (1993)
Isoodon macrourus,1551,12.77,I/F,T/TR,M,T,N,N,N,Hulbert and Dawson (1974)
Echymipera kalabu,695,6.84,I/F,TR,M,T,N,N,N,Hulbert and Dawson (1974)
Echymipera rufescens,1276,10.86,I/F,TR,M,T,N,N,N,Hulbert and Dawson (1974)
Phsascolarctos cinereus,4765,21.05,L,T/TR,M,TR,N,N,N,Degabriele and Dawson (1979)
Lasiorhinus latifrons,25000,50.20,G,T,X,B,N,N,N,Wells (1978)
Cercartetus lepidus,12.6,0.38,I,T,M,T/TR,HIB,N,N,Geiser (1987)
Cercartetus concinnus,18.6,0.45,I,T,X,T/TR,HIB,N,N,Geiser (1987)
Burramys parvus,44.3,0.74,I/F,T,M,T,HIB,N,Y,Fleming (1985a)
Cercartetus nanus,70,1.21,I/F,T,M,T/TR,HIB,N,N,Bartholomew and Hudson (1962)
Phalanger sericeus,1353.2,8.61,F/L,TR,M,TR,N,Y,Y,McNab (in press)
Phalanger carmelitae,1389.7,10.74,F/L,TR,M,TR,N,Y,Y,McNab (in press)
Phalanger gymnotis,1565.5,10.41,F/L,TR,M,T,N,Y,Y,McNab (in press)
Phalanger intercastellanus,1671.4,13.22,F/L,TR,M,TR,N,N,N,McNab (in press)
Trichosurus vulpecula,1982,12.74,L,T/TR,M,TR,N,N,N,Dawson and Hulbert (1970)
Spilocuscus maculatus,4250,22.19,F/L,TR,M,TR,N,N,N,Dawson and Degabriele (1972)
Petauroides volans,1140,11.45,L,T/TR,M,TR,N,N,N,Rübsamen et al. (1984)
Pseudocheirus peregrinus,860.1,5.70,L,T/TR,M,TR,N,N,N,Kinnear and Shield (1975)
Petaurus breviceps,128.1,1.78,S,T/TR,M,TR,Y,N,N,Dawson and Hulbert (1970)
Gymnobelideus leadbeateri,166,2.07,E,T,M,TR,N,N,N,Smith et al. (1982)
Tarsipes rostratus,10,0.58,N,T,M,TR,Y,N,N,Withers et al. (1990)
Acrobates pygmaeus,14,0.30,N,T/TR,M,TR,HIB,N,N,Fleming (1985b)
Bettongia penicillata,1070,11.07,O,T/TR,X,T,N,N,N,Wallis and Farrell (1992)
Potorous tridactylus,1120,10.12,I/F,T,M,T,N,N,N,Nicol (1976)
Bettongia gaimardi,1385,12.88,O,T,M,T,N,N,N,Hinds et al. (1993)
Aepyprymnus rufescens,2820,21.52,G,T/TR,M,T,N,N,N,Rübsamen et al. (1983)
Setonix brachyurus,2510,16.13,G,T,X,T,N,N,N,Kinnear and Shield (1975)
Lagorchestes conspicillatus,2660,17.09,G,TR,M,T,N,N,N,Dawson and Bennett (1978)
Macropus eugenii,4796,27.93,G,T,X,T,N,N,N,Dawson and Hulbert (1970)
Dendrolagus matschiei,6960,29.35,F/L,TR,M,TR,N,Y,Y,McNab (1988)
Macropus robustus,29300,111.79,G,T/TR,X,T,N,N,N,Dawson (1972)
Macropus rufus,32490,116.13,G,T/TR,X,T,N,N,N,Dawson and Hulbert (1970)
Geogale aurita,6.9,0.16,I,TR,M,T,Y,Y,N,Stephenson and Racey (1993a)
Microgale cowani,10.3,0.54,I,TR,M,T,?,Y,N,Stephenson and Racey (1993b)
Microgale drouhardi,11.9,0.57,I,TR,M,T,?,Y,N,Stephenson and Racey (1993b)
Microgale talazaci,44.0,0.87,I,TR,M,T,Y,Y,N,Stephenson and Racey (1993b)
Oryzorictes hova,44.4,0.89,W,TR,X,T,?,Y,N,Stephenson (1994b)
Microgale dobsoni,44.6,0.84,I,TR,M,T,Y,Y,N,Stephenson and Racey (1993b)
Limnogale mergulus,77.7,1.45,V/IV,TR,M,AQ,N,Y,N,Stephenson (1994a)
Hemicentetes nigriceps,101.9,1.46,W,TR,M,T,Y,Y,N,Stephenson and Racey (1994)
Hemicentetes semispinosus,133,1.29,W,TR,M,T,Y,Y,N,Stephenson and Racey (1994)
Setifer setosus,530,2.45,I,TR,M,T,Y,Y,N,McNab (1980)
Tenrec ecaudatus,790,5.24,I,TR,M,T,Y,Y,N,Hildwein (1970)
Eremitalpa granti,26.1,0.31,V,T,X,FOSS,Y,N,N,Fielden et al. (1990)
Chrysochloris asiatica,34,0.82,IV,T,X,FOSS,Y,N,N,Withers (1978)
Amblysomus hottentotus,70,1.70,IV,T,X,FOSS,?,N,N,Kuyper (1979)
Macroscelides proboscideus,38.8,1.04,A/T,T,X,T,Y,N,N,Roxburgh and Perrin (1994)
Elephantulus rozeti,45.3,0.96,A/T,TR,M,T,Y,N,N,Lovegrove et al. (2001)
Elephantulus brachyrhynchus,45.3,0.88,A/T,TR,X,T,Y,N,N,Downs and Perrin (1995b)
Elephantulus intufi,46.5,1.04,A/T,T,X,T,Y,N,N,Downs and Perrin (1995b)
Elephantulus edwardi,49.8,1.09,A/T,T,X,T,Y,N,N,Leon et al. (1983)
Elephantulus rufescens,53.0,1.14,A/Y,TR,X,T,Y,N,N,McNab (1984)
Elephantulus myurus,63.0,1.33,A/T,T,X,T,Y,N,N,Lovegrove et al. (2001)
Petrodromus tetradactylus,206.1,3.60,A/T,TR,M,T,?,N,N,Downs and Perrin (1995b)
Orycteropus afer,48000,123.37,A/T,T/TR,X,T,N,N,N,McNab (1984)
Heterohyrax brucei,2000,14.46,F/L,TR,X,T,N,N,N,Taylor and Sale (1969)
Dendrohyrax dorsalis,2210,15.09,F/L,TR,M,TR,N,N,N,Hildwein (1972)
Procavia capensis,2400,13.01,L,TR,X,T,N,N,N,Rübsamen et al. (1979)
Trichechus inunguis,170000,208.23,L,TR,M,AQ,N,N,N,Gallivan and Best (1980)
Dasypus sabanicola,1380,6.24,A/T,TR,X,B,N,N,N,Fergusson-Laguna (1981)
Dasypus novemcinctus,3320,16.00,I,T/TR,M/X,B,N,N,N,McNab (1980)
Chaetophractus vellerosus,1110,6.24,I,T,M/X,B,N,N,N,McNab (1980)
Zaedyus pichiy,1740,8.04,I,T,X,B,Y,N,N,McNab (1980)
Chaetophractus nationi,2150,11.23,I,T,X,B,?,N,Y,McNab (1980)
Chaetophractus villosus,4540,16.23,I,T,X,B,N,N,N,McNab (1980)
Euphractus sexcinctus,8190,24.83,I,TR,X,B,N,N,N,McNab (1980)
Tolypeutes matacus,1160,4.22,A/T,T/TR,M/X,T,N,N,N,McNab (1980)
Cabassous centralis,3810,16.07,A/T,TR,X,B,N,N,N,McNab (1980)
Priodontes maximus,45190,60.80,A/T,TR,M/X,FOSS,N,N,N,McNab (1980)
Bradypus variegatus,3790,13.78,L,TR,M,TR,N,N,N,McNab (1978b)
Choloepus hoffmanni,4250,16.04,L,TR,M,TR,N,N,N,McNab (1978b)
Cyclopes didactylus,249,2.31,A/T,TR,M,TR,N,N,N,McNab (1984)
Tamandua mexicana,3500,18.27,A/T,TR,M,T/TR,N,N,N,Enger (1957)
Tamandua tetradactyla,3500,17.57,A/T,TR,M,T/TR,N,N,N,McNab (1984)
Myrmecophaga tridactyla,30600,52.23,A/T,TR,M/X,T,N,N,N,McNab (1984)
Tupaia glis,123.0,1.88,I/F,TR,M,TR,N,N,N,Bradley and Hudson (1974)
Tupaia belangeri,186.0,2.54,I/F,TR,M,TR,N,N,N,Weigold (1979)
Ptilocercus lowii,58.0,0.87,O,TR,M,TR,N,N,N,Whittow and Gould (1976)
Cheirogaleus medius,300,3.92,I/F,TR,M,TR,Y,Y,N,McCormick (1981)
Eulemur fulvus,2330,6.50,F,TR,M,T/TR,N,Y,N,Daniels (1984)
Propithecus verreauxi,3080,13.73,F,TR,X,TR,N,Y,N,Richard and Nicol (1987)
Loris tardigradus,263,2.38,I,TR,M,TR,N,Y,N,Müller et al. (1985)
Nycticebus coucang,1300,6.27,I/F,TR,M,TR,N,N,N,Müller (1979)
Perodicticus potto,1386,10.30,F,TR,M,TR,N,N,N,Palacio (1977)
Galago demidovii,68,1.26,I,TR,M,TR,N,N,N,Dobler (1982)
Galago moholi,156,2.41,E,TR,M/X,TR,N,N,N,Dobler (1982)
Arctocebus calabarensis,206,2.65,I,TR,M,TR,N,N,N,Hildwein (1972)
Euoticus elegantulus,262,4.31,E,TR,M,TR,N,N,N,Hildwein (1972)
Otolemur crassicaudatus,947,8.25,E,T/TR,M,TR,N,N,N,Müller and Jaksche (1980)
Tarsius syrichta,114,1.55,I,TR,M,TR,N,Y,N,McNab and Wright (1987)
Cebuella pygmea,152.5,1.97,E,TR,M,TR,N,N,N,Genoud et al. (1997)
Callithrix jacchus,356,3.07,E,TR,M,TR,N,N,N,Petry et al. (1986)
Callimico goeldii,557,5.59,I/F,TR,M,TR,N,N,N,Kalin et al. (2003)
Leontopithecus rosalia,733,7.65,I/F,TR,M,TR,N,N,N,Thompson et al. (1994)
Saimiri sciureus,850,11.95,I,TR,M,TR,N,N,N,LeMaho et al. (1981)
Aotus trivirgatus,1020,9.22,F/L,TR,M,TR,N,N,N,LeMaho et al. (1981)
Macaca mulatta,6230,43.78,F,T/TR,M/X,T/TR,N,N,N,Bruhn (1934)
Cercopithecus mitis,8500,68.27,F,TR,M,TR,N,N,N,Müller et al. (1983)
Colobus guereza,10500,60.09,L,TR,M,TR,N,N,N,Müller et al. (1983)
Pan troglodytes,33900,182.43,O,TR,M,T/TR,N,N,N,Bruhn and Benedict (1936)
Homo sapiens,60500,255.12,O,W,M/X,T,N,N,N,Benedict (1938)
Aplodontia rufa,630.0,5.57,L,T,M,FOSS,N,N,N,McNab (1979b)
Glaucomys volans,61.5,1.30,S,T,M,TR,N,N,N,Stapp (1992)
Tamiasciurus hudsonicus,224.0,4.90,S,T,M,TR,N,N,N,Pauls (1981)
Sciurus aberti,624,8.65,S,T,M,TR,N,N,N,Golightly and Ohmart (1978)
Tamias alpinus,39.1,1.16,F/S,T,M,T,Y,N,N,Heller and Gates (1971)
Tamias minimus,46.6,1.54,F/S,T,M,T,Y,N,N,Jones and Wang (1976)
Tamias amoenus,57.3,1.94,F/S,T,X,T,Y,N,N,Jones and Wang (1976)
Funisciurus isabella,60.0,2.05,F,TR,M,T/TR,N,N,N,Hildwein (1972)
Tamias palmeri,69.4,2.27,F/S,T,X,T,Y?,N,N,Yousef et al. (1974)
Tamias speciosus,70.7,2.10,F/S,T,M,T,Y,N,N,Heller and Gates (1971)
Tamias merriami,75.0,1.58,F/S,T,X,T,Y,N,N,Wunder (1970)
Tamias striatus,87.4,1.81,F/S,T,M,T,Y,N,N,Wang and Hudson (1971)
Funisciurus lemniscatus,95.0,1.80,O,TR,M,T,N,N,N,Hildwein (1972)
Ammospermophilus leucurus,96.0,1.99,S,T,D,T,N,N,N,Hudson (1962)
Funisciurus congicus,112.3,1.96,F/S,TR,M,T/TR,N,N,N,Viljoen (1985)
Spermophilus tereticaudus,167.0,1.88,O,T,D,T,HIB,N,N,Hudson et al. (1972)
Spermophilus spilosoma,174.0,1.85,O,T,D,T,HIB,N,N,Hudson et al. (1972)
Spermophilus tridecemlineatus,182.0,2.08,O,T,X,T,HIB,N,N,Hudson et al. (1972)
Paraxerus cepapi,223.6,2.92,F/S,T/TR,X,T/TR,N,N,N,Viljoen (1985)
Spermophilus townsendii,229.0,2.10,O,T,D,T,HIB,N,N,Hudson et al. (1972)
Heliosciurus rufobrachium,230.0,2.68,F,TR,M,T/TR,N,N,N,Hildwein (1972)
Spermophilus mohavensis,239.5,2.24,O,T,D,T,HIB,N,N,Hudson et al. (1972)
Funisciurus pyrrhopus,244.0,3.64,F/S,TR,M,T/TR,N,N,N,Hildwein (1972)
Spermophilus saturatus,252.2,3.24,F/S,T,M,T,HIB,N,N,Kenagy and Vleck (1982)
Spermophilus lateralis,273.9,2.48,O,T,X,T,HIB,N,N,Hudson et al. (1972)
Spemophilus richardsonii,274.4,2.65,O,T,X,T,HIB,N,N,Hudson et al. (1972)
Spermophilus beldingi,302.7,2.54,O,T,X,T,HIB,N,N,Hudson et al. (1972)
Spermophilus armatus,319.9,2.93,O,T,X,T,HIB,N,N,Hudson et al. (1972)
Paraxerus palliatus,366.6,5.30,F/S,T/TR,M,T/TR,N,N,N,Viljoen (1985)
Epixerus ebii,460.0,4.85,F/S,TR,M,T,N,N,N,Hildwein (1972)
Xerus inauris,515.3,6.23,O,T,X,T,N,N,N,Haim et al. (1987)
Spermophilus beecheyi,599.6,6.38,O,T,M,T,HIB,N,N,Baudinette (1972)
Xerus princeps,627.0,7.11,O,T,X,T,N,N,N,Haim et al. (1987)
Spermophilus undulatus,680.0,11.81,O,P,M,T,HIB,N,N,Casey et al. (1979)
Cynomys ludovicianus,1112.3,8.49,G,T,X,T,Y,N,N,Reinking et al. (1977)
Marmota monax,2650.0,13.30,G,T,M,T,HIB,N,N,Benedict (1938)
Marmota flaviventris,4294.0,31.05,G,T,M,T,HIB,N,N,Reinking et al. (1977)
Graphiurus ocularis,67.8,1.33,O,T,M,TR,Y,N,N,Perrin and Ridgard (1999)
Castor Canadensis,15270,93.45,B,T,FW,AQ,N,N,N,MacArthur (1989)
Microdipodops megacephalus,11.0,0.61,S,T,D,T,HIB,N,N,Hinds and MacMillen (1985)
Microdipodops pallidus,15.2,0.40,S,T,D,T,HIB,N,N,Bartholomew and MacMillen (1961)
Dipodomys nitratoides,37.8,0.93,S,T,X,T,N,N,N,Hinds and Rice-Warner (1992)
Dipodomys merriami,38.3,0.87,S,T,D,T,N,N,N,Carpenter (1966)
Dipodomys ordii,48.8,1.28,S,T,X/D,T,N,N,N,Kenagy and Vleck (1982)
Dipodomys microps,57.2,1.34,L,T,X,T,N,N,N,Breyen et al. (1973)
Dipodomys agilis,60.6,1.28,S,T,X,T,N,N,N,Carpenter (1966)
Dipodomys heermanni,63.3,1.47,S,T,X,T,N,N,N,Hinds and Rice-Warner (1992)
Dipodomys panamintinus,64.2,1.50,S,T,X,T,N,N,N,Hinds and MacMillen (1985)
Dipodomys deserti,106.0,1.85,S,T,D,T,N,N,N,McNab (1979a)
Liomys salvini,43.8,0.94,S,T/TR,X,T,N?,N,N,Hudson and Rummel (1966)
Liomys irroratus,48.1,1.08,S,TR,X,T,N?,N,N,Hudson and Rummel (1966)
Heteromys anomalus,69.3,2.02,L/S,TR,M,T,N,N,N,McNab (1979a)
Heteromys desmarestianus,75.8,1.99,L/S,TR,M,T,N,N,N,Hinds and MacMillen (1985)
Perognathus flavus,8.3,0.35,S,T,X/D,T,Y,N,N,Hinds and MacMillen (1985)
Perognathus longicaudatus,8.9,0.19,S,T,D,T,Y,N,N,Chew et al. (1967)
Chaetodipus intermedius,14.6,0.31,S,T,D,T,Y?,N,N,Bradley et al. (1975)
Chaetodipus penicillatus,16.0,0.45,S,T,D,T,Y?,N,N,Brower and Cade (1966)
Chaetodipus fallax,19.6,0.54,S,T,X,T,Y,N,N,Hinds and MacMillen (1985)
Chaetodipus californicus,22.0,0.43,S,T,X,T,Y,N,N,Tucker (1963)
Chaetodipus baileyi,29.1,0.70,S,T,D,T,Y,N,N,Hinds and MacMillen (1985)
Chaetodipus hispidus,39.5,0.99,S,T,X,T,Y,N,N,Wang and Hudson (1970)
Thomomys umbrinus,85.0,1.45,B,T,M,FOSS,N,N,N,Bradley et al. (1975)
Thomomys talpoides,106.0,2.19,B,T,M,FOSS,N,N,N,Bradley et al. (1975)
Thomomys bottae,143.0,2.41,B,T,M/X,FOSS,N,N,N,Vleck (1979)
Geomys bursarius,197.0,2.77,B,T,X,FOSS,N,N,N,Bradley and Yousef (1975)
Geomys pinetis,200.0,2.85,B,T,M,FOSS,N,N,N,McNab (1979b)
Jaculus jaculus,75.0,1.85,S,T,D,T,HIB,N,N,Hooper and Hilali (1972)
Jaculus orientalis,139.0,2.79,S,T,D,T,HIB,N,N,Hooper and Hilali (1972)
Napaeozapus insignis,21.6,0.78,S,T,M,T,HIB,N,N,Brower and Cade (1966)
Zapus hudsonicus,30.0,0.90,S,T,M,T,HIB,N,N,Morrison and Ryser (1962)
Cannomys badius,344.0,3.45,B,TR,M,FOSS,N,N,N,McNab (1979b)
Spalax ehrenbergi,128.0,2.21,B,T,X,FOSS,N,N,N,Nevo and Shkolnik (1974)
Spalax leucodon,201.0,2.99,B,T,M/X,FOSS,N,N,N,McNab (1979b)
Tachyoryctes splendens,191.0,3.03,B,TR,M,FOSS,N,N,N,McNab (1979b)
Saccostomus campestris,61.3,1.03,F/S,T,X,T,Y,N,N,Haim et al. (1991)
Cricetomys gambianus,1870.9,22.92,F/S,T/TR,M,T,N,N,N,Knight (1988)
Malacothrix typical,21.7,0.41,S,T,D,T,N,N,N,Knight and Skinner (1981)
Steatomys pratensis,27.5,0.73,S,T/TR,X,T,Y,N,N,Ellison (1995)
Mystromys albicaudatus,93.8,2.54,S,T,X,T,N?,N,N,Downs and Perrin (1995)
Microtus subterraneus,17.8,0.99,G,T,M,FOSS,N,N,N,Gebczynski and Szuma (1993)
Myodes californicus,18.3,1.23,F/S,T,M,T,N,N,N,McNab (1992b)
Phenacomys intermedius,21.5,1.35,L,T,M,T,N,N,Y,McNab (1992b)
Arborimus pomo,21.8,1.18,L,T,M,TR,N,N,N,McNab (1992b)
Myodes gapperi,22.8,0.89,F/S,T,M,T,N,N,N,McNab (1992b)
Microtus pinetorum,23.8,1.12,G,T,M,FOSS,N,N,N,McNab (1992b)
Microtus arvalis,24.0,1.21,G,T,M,T,N,N,N,Jansky (1959)
Myodes glareolus,24.6,1.15,F/S,T,M,T,N,N,N,Gorecki (1968)
Myodes schisticolor,26.4,1.91,B,P,M,T,N,N,N,Saarela and Hissa (1993)
Myodes rufocanus,27.0,1.19,F/S,T,M,T,N,N,N,Pearson (1962)
Microtus agrestis,28.0,1.28,G,T,M,T,N,N,N,McDevitt and Speakman (1996)
Myodes rutilus,28.0,1.55,F/S,P,M,T,N,N,N,Rosenmann et al. (1975)
Microtus mexicanus,28.8,0.94,G,T,X,T,N,N,N,Bradley (1976)
Microtus longicaudus,30.2,1.25,G,T,X,T,N,N,N,McNab (1992b)
Lemmiscus curtatus,30.3,1.01,G,T,X,T,N,N,N,McNab (1992b)
Microtus oeconomus,35.4,2.02,G,P,M,T,N,N,N,McNab (1992b)
Chionomys nivalis,37.5,2.36,L,T,M,T,N,N,Y,Bienkowski and Marszalek (1974)
Microtus pennsylvanicus,38.9,1.51,G,T,M,T,N,N,N,Bradley (1976)
Microtus brandti,40.3,1.55,L,T,X,T,N,N,Y,Weiner and Gorecki (1981)
Microtus cabrerae,43.0,0.98,G,T,X,T,N,N,N,Mathias et al. (2003)
Microtus guentheri,43.8,1.61,L,T,M,T,N,N,N,Haim and Izhaki (1995)
Lemmus trimucronatus,44.0,1.41,G,P,M,T,N,N,N,McNab (1992b)
Microtus californicus,44.0,1.37,G,T,M,T,N,N,N,Bradley (1976)
Microtus ochrogaster,47.4,1.66,G,T,X,T,N,N,N,Wunder et al. (1977)
Microtus montanus,51.2,1.80,G,T,M,T,N,N,Y,McNab (1992b)
Microtus townsendi,52.2,1.81,G,T,M,T,N,N,N,Kenagy and Vleck (1982)
Alticola argentatus,52.9,2.55,L,T,M,T,N,N,Y,Weiner and Gorecki (1981)
Microtus breweri,53.1,1.48,L,T,M,T,N,Y,N,Kurta and Ferkin (1991)
Dicrostonyx groenlandicus,62.3,2.11,L,P,M,T,N,N,N,McNab (1992b)
Microtus xanthognathus,68.5,1.98,G,P,M,T,N,N,N,McNab (1992b)
Microtus richardsoni,80.0,3.47,G,T,M,AQ,N,N,N,McNab (1992b)
Arvicola amphibius,97.5,2.27,G,T,M,T,N,N,N,Drozdz et al. (1971)
Neofiber alleni,258.1,4.35,L,T,M,AQ,N,N,N,McNab (1992b)
Ondatra zibethicus,1004.6,12.91,L,T,M,AQ,N,N,N,McNab (1992b)
Phodopus campbelli,24.0,0.79,S,T,X,T,Y,N,N,Weiner and Heldmaier (1987)
Phodopus sungorus,27.4,1.55,S,T,X,T,Y,N,N,Weiner and Heldmaier (1987)
Cricetulus migratorius,30.7,0.88,S,T,X,T,HIB,N,N,Haim and Izhaki (1993)
Mesocricetus auratus,119.3,2.06,O,T,X,T,HIB,N,N,Tegowska and Gebczynski (1975)
Cricetus cricetus,362.0,4.65,S,T,M,T,HIB,N,N,Gorecki and Wolek (1975)
Baiomys taylori,7.3,0.29,I,T,X,TR,Y,N,N,Hudson (1965)
Reithrodontomys megalotis,7.6,0.40,L/S,T,M,T,Y,N,N,Thompson (1985)
Peromyscus polionotus,12.0,0.43,O,T,M,T,Y?,N,N,Glenn (1970)
Scotinomys teguina,12.0,0.63,I,TR,M,T,N,N,Y,Hill and Hooper (1971)
Scotinomys xerampelinus,15.2,0.64,I,TR,M,T,N,N,Y,Hill and Hooper (1971)
Peromyscus maniculatus,19.1,0.78,O,T,W,T,Y,N,N,McNab and Morrison (1963)
Onychomys torridus,19.1,0.59,I,T,D,T,N?,N,N,Whitford and Conley (1971)
Ochrotomys nuttallli,19.5,0.54,O,T,M,T,?,N,N,Layne and Dolan (1975)
Peromyscus crinitus,21.0,0.62,O,T,X/D,T,Y?,N,N,McNab and Morrison (1963)
Peromyscus leucopus,21.2,0.71,O,T,M,T,Y,N,N,Deavers and Hudson (1981)
Peromyscus glossypinus,21.5,0.74,O,T,M,T,Y?,N,N,Glenn (1970)
Peromyscus eremicus,22.0,0.65,O,T,D,T,Y,N,N,McNab and Morrison (1963)
Peromyscus boylei,23.2,1.09,O,T,X,T,Y?,N,N,Mazen and Rudd (1980)
Peromyscus oreas,24.6,0.87,O,T,M,T,?,N,N,Hayward (1965)
Peromyscus sitkensis,28.3,0.94,O,T,M,T,?,N,N,Hayward (1965)
Podomys floridanus,30.8,1.04,O,T,M,T,?,N,N,Glenn (1970)
Peromyscus truei,33.0,1.25,O,T,M,T,?,N,N,McNab and Morrison (1963)
Peromyscus californicus,49.6,1.17,O,T,M,T,Y,N,N,McNab and Morrison (1963)
Peromyscus megalops,66.2,1.82,O,TR,M,T,?,N,N,Musser and Shoemaker (1965)
Megadontomys thomasi,110.8,2.49,O,TR,M,T,?,N,N,Musser and Shoemaker (1965)
Isthmomys pirrensis,137.9,2.44,O,TR,M,T,N,N,N,Hill (1975)
Neotoma lepida,138.5,2.00,L,T,D,T,N,N,N,Lee (1963)
Neotoma fuscipes,186.7,2.96,L,T,M,T,N,N,N,Lee (1963)
Neotoma albigula,193.6,2.84,L,T,D,T,N,N,N,Brown (1968)
Neotoma cinerea,320.9,5.03,L,T,M,T,N,N,N,Brown (1968)
Calomys lepidus,16.0,0.58,O,TR,M,T,N,N,Y,Rosenmann and Morrison (1974)
Calomys musculinus,16.9,0.56,O,T,X,T,N,N,N,Bozinovic and Rosenmann (1988)
Eligmodontia typus,17.5,0.60,O,T,D,T,N,N,Y,Bozinovic and Rosenmann (1988)
Akodon azarae,23.5,0.80,O,T/TR,M,T,N,N,N,Dalby and Heath (1976)
Abrothrix olivaceus,27.0,0.99,O,T,X,T,N,N,N,Bozinovic and Rosenmann (1988)
Oligorhyzomys longicaudatus,28.2,1.03,F/S,T,X,T,N,N,N,Bozinovic and Rosenmann (1988)
